index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
3399,10,37.891586,115.144497,71.63478443305037,8.703401543991204,9.84201500000006,0.0,414.3573025,1023.545245,0.186226,101.63050484301228,9.495041297305145,东东南,0,0,晴,-6338897
3403,11,37.891586,115.144497,56.22774364776764,8.671408740047305,13.44837750000005,0.0,497.648265,1023.12439,0.541629255,130.17604694935264,13.068665136692696,东南,1,0,晴,-8662222
3407,12,37.891586,115.144497,47.84330935156032,8.398997501095874,15.45203250000003,0.0,549.295415,1022.323455,1.187253825,154.48279805230914,14.738222965851676,南东南,1,0,晴,-9442689
3411,13,37.891586,115.144497,44.95952485679815,8.400244584114931,16.427220000000034,0.0,509.82907250000005,1021.23456,1.882015675,155.61328023323674,15.330175771253462,南东南,2,0,晴,-9635123
3415,14,37.891586,115.144497,44.40563013639069,8.47661578306117,16.764580000000024,0.0,430.2196825,1020.0838,1.690846625,176.17140991475188,15.830599250267046,南,2,0,晴,-8567225
3419,15,37.891586,115.144497,44.46275195286144,8.544883152486863,16.870720000000006,0.0,317.1051775,1019.2923375,1.62109485,171.80418678616465,16.003114253119282,南,2,0,晴,-6232768
3423,16,37.891586,115.144497,46.16835273706004,8.57470810232035,16.333380000000034,0.0,174.8725425,1018.9041375,1.6042816,158.33021041725348,15.445124992997073,南东南,2,0,晴,-3440435
3427,17,37.891586,115.144497,52.956918010926366,8.757915028580811,14.524774999999975,0.0,39.5150597,1018.572175,0.9407427375,167.84033993776404,13.978074648507398,南东南,1,0,晴,-996994
3431,18,37.891586,115.144497,64.84789634571517,9.2045324829517,12.181852500000048,0.0,1.6953199000000003,1018.6112875,0.6938935825,166.54729943667465,11.721159362014753,南东南,1,0,晴,-9976
3435,19,37.891586,115.144497,66.58052632399017,8.951363157725517,11.360505000000046,0.0,0.0,1018.7293625,0.7552729275,153.79224205255943,10.752023685907222,南东南,1,0,晴,0
3439,20,37.891586,115.144497,64.60774355426047,8.589793130576213,11.192337500000008,0.0,0.0,1018.645555,0.7221072374999999,157.45539140324115,10.521480731242146,南东南,1,0,晴,0
3443,21,37.891586,115.144497,62.01929745517981,8.174250759018065,11.061365000000023,0.0,0.0,1018.418415,1.209644375,150.9907663151796,9.981494757073824,南东南,1,0,晴,0
3447,22,37.891586,115.144497,62.92239234208613,7.893394432687887,10.319740000000024,0.0,0.0,1018.25761,1.017120175,149.89029860610498,9.25713813892636,南东南,1,0,晴,0
3451,23,37.891586,115.144497,64.6674272753811,7.75369341208247,9.645115000000033,0.0,0.0,1017.8158875,1.031837625,141.93021530940553,8.813590094198352,东南,1,0,晴,0
3455,0,37.891586,115.144497,65.30809181256959,7.6039104772166,9.208920000000036,0.0,0.0,1017.4517575,0.8877475499999999,143.87767961399064,8.411178723169265,东南,1,0,晴,0
3459,1,37.891586,115.144497,67.39713835846143,7.501630837326939,8.543035000000032,0.0,0.0,1017.298265,0.5237093724999999,135.79565552804715,7.877319890330218,东南,1,0,晴,0
3463,2,37.891586,115.144497,71.48805403497356,7.639387385984411,7.94380000000001,0.0,0.0,1017.045825,0.4558110325,134.73733856585508,7.252864340486453,东南,1,0,晴,0
3467,3,37.891586,115.144497,74.60706268973772,7.751756372998917,7.532050000000027,0.0,0.0,1016.65572,0.311496915,143.47599895183495,6.878383831380746,东南,1,0,晴,0
3471,4,37.891586,115.144497,75.20264542712857,7.749394641330032,7.411350000000027,0.0,0.0,1016.1485525,0.2343136499999999,188.54499637419312,6.802410168237367,南,0,0,晴,0
3475,5,37.891586,115.144497,76.51450949823138,7.689836832462392,7.046447499999999,0.0,0.0,1015.6706875,0.2430136024999999,135.09954627722868,6.382364059500657,东南,0,0,晴,0
3479,6,37.891586,115.144497,79.68992995648603,7.680358285235187,6.437582500000019,0.0,0.0,1015.398,0.8271915875,196.02513722063412,5.322065731006918,南西南,1,0,晴,0
3483,7,37.891586,115.144497,81.66004040123062,7.762949626375078,6.238775000000032,0.0,0.523161375,1015.715425,0.8127331474999999,248.81281380897784,5.079686995048721,西西南,1,0,晴,0
3487,8,37.891586,115.144497,80.39616028684601,8.106735187854245,7.094675000000052,0.0,80.467617125,1016.00755,0.3123853024999999,258.5910644780014,6.340248012418513,西西南,1,0,晴,-266831
3491,9,37.891586,115.144497,71.71041001136058,8.153700797111023,8.857837500000016,0.0,200.6027475,1016.520175,0.5819968900000001,247.2721274656178,8.170039188697702,西西南,1,0,晴,-2043623
3495,10,37.891586,115.144497,65.6411162187114,8.425681185067676,10.663712499999974,0.0,300.7026475,1016.5793,0.7325242999999999,249.0147505644884,9.91640371899632,西西南,1,0,晴,-5059728
3499,11,37.891586,115.144497,57.56698204016983,8.8789275873194,13.45007499999997,0.0,287.13142000000005,1016.20615,0.4436625125,231.5130342786538,13.175583834500484,西南,1,0,晴,-5819553
3503,12,37.891586,115.144497,56.64821100126319,9.297081132761916,14.406619999999975,0.0,311.020345,1015.413725,0.3501619625,240.54598928502853,14.34316273338368,西西南,1,0,晴,-4203871
3507,13,37.891586,115.144497,52.25512359031076,9.344687664567644,15.740580000000024,0.0,395.119495,1014.390005,0.424119455,122.81954987922369,15.73169583195413,东东南,1,0,晴,-9109175
3511,14,37.891586,115.144497,50.402329443368174,9.367182998298158,16.34362500000003,0.0,292.45048,1013.48331,0.40129261,185.73196793655111,16.396176610144632,南,1,0,晴,-6963198
3515,15,37.891586,115.144497,51.0058089940582,9.431134303469223,16.263615000000073,0.0,187.72786,1012.97705,0.31322787,332.97431804278347,16.380584141763087,北西北,1,0,晴,-3180291
3519,16,37.891586,115.144497,55.4823990419399,9.997265474560416,15.859000000000036,0.0,101.24377625,1013.137425,0.843553365,18.10984391349723,15.715988540536324,北东北,1,0,晴,-2837403
3523,17,37.891586,115.144497,64.85878623695916,10.203690497554035,13.754312500000026,0.0,24.82265525,1013.4623125000002,1.2185495,354.37240879372257,13.261826799857214,北,1,0,晴,-665735
3527,18,37.891586,115.144497,71.68797813134915,10.22306487015804,12.252827500000024,0.0,1.6609505000000002,1013.9195375,0.861217925,342.90465447418853,11.891668984616269,北西北,1,0,晴,-884
3531,19,37.891586,115.144497,75.96179929425098,10.10791641873616,11.205115000000037,0.0,0.0,1014.60925,1.1221846,2.281312551260981,10.578210261036237,北,1,0,晴,0
3535,20,37.891586,115.144497,79.68836564211651,10.031544060080572,10.371920000000046,0.0,0.0,1015.2013,1.00674555,28.32813604866664,9.746647009227557,北东北,1,0,晴,0
3539,21,37.891586,115.144497,79.99666759120878,9.830679246005472,10.011889999999994,0.0,0.0,1015.749745,1.083955075,26.330754072676854,9.27119258148955,北东北,1,0,晴,0
